150.0000000000	150.0000000000	3.0000000000	
150.0000000000	150.0000000000	103.0000000000	
190.0000000000	150.0000000000	103.0000000000	
178.2842712475	178.2842712475	103.0000000000	
150.0000000000	190.0000000000	103.0000000000	
121.7157287525	178.2842712475	103.0000000000	
110.0000000000	150.0000000000	103.0000000000	
121.7157287525	121.7157287525	103.0000000000	
150.0000000000	110.0000000000	103.0000000000	
178.2842712475	121.7157287525	103.0000000000	
190.0000000000	150.0000000000	103.0000000000	
150.0000000000	150.0000000000	103.0000000000	
150.0000000000	150.0000000000	3.0000000000	
